x,y,OBJECTID,tvpoll_p_WARD,tvpoll_p_BLDG_NAME,tvpoll_p_ADDRESS,tvpoll_p_HANDICAP_ACCESS,tvpoll_p_SPEC_COMMENTS,tvpoll_p_ALD_DIST,tvpoll_p_PHONE_NO,tvpoll_p_SUP_DIST,tvpoll_p_SEN_DIST,tvpoll_p_ASM_DIST,tvpoll_p_BALLOT_COLOR
-89.27334372,43.07662696,4550,1,Westminster Senior Apartments,6160 Dell Dr,,,16,,,,,
-89.2955677,43.05276035,4551,2,"Fire Station #14
",3201 Dairy Dr,,,16,,,,,
-89.2955677,43.05276035,4552,3,Fire Station #14 ,3201 Dairy Dr,,,16,,,,,
-89.29723933,43.07276823,4553,4,City Church,4909 E Buckeye Rd,,,16,,,,,
-89.28564137,43.08100115,4554,5,Our Saviour's Lutheran,1201 Droster Rd,,,16,,,,,
-89.28564137,43.08100115,4555,6,Our Saviour's Lutheran,1201 Droster Rd,,,16,,,,,
-89.26468451,43.09195535,4556,7,Door Creek Church,6602 Dominion Dr,,,16,,,,,
-89.27088525,43.10240428,4557,8,Steamfitters Local 601 Training Center,6310 Town Center Dr,,,3,,,,,
-89.28304371,43.08757768,4558,9,Oak Park Place,718 Jupiter Dr,,,3,,,,,
-89.29220533,43.08523203,4559,10,Messiah Lutheran Church,5202 Cottage Grove Rd,,,3,,,,,
-89.30264761,43.0893904,4560,11,New Beginnings Church ,"602 Acewood Blvd
",,,3,,,,,
-89.31261585,43.10376561,4561,12,American Family Insurance,302 N Walbridge Ave,,,3,,,,,
-89.31876513,43.11785761,4562,13,Hy-Vee,3801 E Washington Ave,,,3,,,,,
-89.31922269,43.05805407,4563,14,Unity of Madison,601 Tompkins Dr,,,15,,,,,
-89.32073421,43.07819824,4564,15,Lake Edge United Church of Christ,4200 Buckeye Rd,,,15,,,,,
-89.31737155,43.08433228,4565,16,Pinney Library,516 Cottage Grove Rd,,,15,,,,,
-89.31453038,43.08290829,4566,17,Lussier Family East YMCA,711 Cottage Grove Rd,,,15,,,,,
-89.34541493,43.10180723,4567,18,Hawthorne Library,2707 E Washington Ave,,,15,,,,,
-89.33572746,43.09247769,4568,19,Olbrich Gardens,3330 Atwood Ave,,,15,,,,,
-89.31198174,43.10899786,4569,20,"Nakoosa Fleet Facility
",4151 Nakoosa Tr,,,17,,,,,
-89.31198174,43.10899786,4570,21,"Nakoosa Fleet Facility
",4151 Nakoosa Tr,,,17,,,,,
-89.27944894,43.14432984,4571,22,Fire Station #11,4011 Morgan Way,,,17,,,,,
-89.28422007,43.15457579,4572,23,Oakwood Village Prairie Ridge,5560 Tancho Dr,,,17,,,,,
-89.31101571,43.12939042,4573,24,"Eastside Lutheran Church and School
",2310 Independence Ln,,,17,,,,,
-89.31101571,43.12939042,4574,25,Eastside Lutheran Church and School,2310 Independence Ln,,,17,,,,,
-89.32870311,43.11838298,4575,26,"East Madison Community Center
",8 Straubel Ct,,,12,,,,,
-89.31876513,43.11785761,4576,27,Hy-Vee,3801 E Washington Ave,,,12,,,,,
-89.3500988,43.10408787,4577,28,Bashford United Methodist Church,329 North St,,,12,,,,,
-89.35671849,43.10565828,4578,29,Madison College - Commercial Ave,2125 Commercial Ave,,,12,,,,,
-89.36701767,43.09191943,4579,30,Tenney Park Pavilion,402 N Thornton Ave,,,12,,,,,
-89.36205776,43.11229908,4580,31,Door Creek Church - Northside,1181 N Sherman Ave,,,12,,,,,
-89.36238276,43.12774387,4581,32,Lakeview Library,2845 N Sherman Ave,,,12,,,,,
-89.36269513,43.13409887,4582,33,Sherman Ave United Methodist Church,3705 N Sherman Ave,,,18,,,,,
-89.36745371,43.13160354,4583,34,"Mallards Duck Blind Clubhouse
",2920 N Sherman Ave,,,18,,,,,
-89.36745371,43.13160354,4584,35,Mallards Duck Blind Clubhouse,2920 N Sherman Ave,,,18,,,,,
-89.36935067,43.13161745,4585,36,Warner Park Community Recreation Center,1625 Northport Dr,,,18,,,,,
-89.37745217,43.13692504,4586,37,Lakeview Lutheran Church,4001 Mandrake Rd,,,18,,,,,
-89.37745217,43.13692504,4587,38,Lakeview Lutheran Church,4001 Mandrake Rd,,,18,,,,,
-89.36935067,43.13161745,4588,39,Warner Park Community Recreation Center,1625 Northport Dr,,,18,,,,,
-89.35744029,43.08846745,4589,40,Bethany Evangelical Free Church,301 Riverside Dr,,,6,,,,,
-89.36701767,43.09191943,4590,41,Tenney Park Pavilion,402 N Thornton Ave,,,6,,,,,
-89.55431245,43.06195458,4591,112,Blackhawk Church,9620 Brader Way,,,1,,,,,
-89.55431245,43.06195458,4592,113,Blackhawk Church,9620 Brader Way,,,1,,,,,
-89.55431245,43.06195458,4593,118,Blackhawk Church,9620 Brader Way,,,9,,,,,
-89.51854534,43.04894951,4594,108,"Coventry Village
",7707 N Brookline Dr,,,1,,,,,
-89.51854534,43.04894951,4595,109,Coventry Village,7707 N Brookline Dr,,,1,,,,,
-89.51854534,43.04894951,4596,110,Coventry Village,7707 N Brookline Dr,,,1,,,,,
-89.50468714,43.03214658,4597,107,Point of Grace Church,7026 Raymond Rd,,,7,,,,,
-89.50468714,43.03214658,4598,111,Point of Grace Church,7026 Raymond Rd,,,1,,,,,
-89.47846168,43.01069127,4599,104,Yahara Bay Distillery,6250 Nesbitt Rd #200,,,7,,,,,
-89.47825965,43.01216853,4600,105,Staybridge Suites,2916 Hardrock Rd ,,,7,,,,,
-89.47825965,43.01216853,4601,106,Staybridge Suites,2916 Hardrock Rd ,,,7,,,,,
-89.38140936,43.07307634,4602,45,"Madison Municipal Building
",215 Martin Luther King Jr Blvd,,,6,,,,,
-89.38140936,43.07307634,4603,51,Madison Municipal Building,215 Martin Luther King Jr Blvd,,,4,,,,,
-89.49612172,43.03446448,4604,95,Our Redeemer Lutheran,1701 McKenna Blvd,,,19,,,,,
-89.49612172,43.03446448,4605,97,Our Redeemer Lutheran,1701 McKenna Blvd,,,20,,,,,
-89.42254948,43.0667127,4606,64,Blessed Sacrament Church,2121 Rowley Ave,,,5,,,,,
-89.42254948,43.0667127,4607,65,Blessed Sacrament Church,2121 Rowley Ave,,,5,,,,,
-89.50196062,43.06630054,4608,93,Lussier Community Education Center,55 S Gammon Rd,,,19,,,,,
-89.50196062,43.06630054,4609,115,Lussier Community Education Center,55 S Gammon Rd,,,9,,,,,
-89.3949825,43.03797171,4610,78,Madison College - Goodman South,2429 Perry St,,,14,,,,,
-89.3949825,43.03797171,4611,79,Madison College - Goodman South,2429 Perry St,,,10,,,,,
-89.4922253,43.0198677,4612,98,Chapel Valley Church,3102 Prairie Rd,,,20,,,,,
-89.4922253,43.0198677,4613,103,Chapel Valley Church,3102 Prairie Rd,,,7,,,,,
-89.45849987,43.061373,4614,87,Covenant Presbyterian Church,326 S Segoe Rd,,,11,,,,,
-89.45849987,43.061373,4615,88,Covenant Presbyterian Church,326 S Segoe Rd,,,11,,,,,
-89.45051032,43.05383903,4616,85,Sequoya Library,4340 Tokay Blvd,,,11,,,,,
-89.45051032,43.05383903,4617,86,Sequoya Library,4340 Tokay Blvd,,,11,,,,,
-89.47779175,43.031265,4618,82,Good Shepherd Lutheran Church,5701 Raymond Rd,,,10,,,,,
-89.47779175,43.031265,4619,83,Good Shepherd Lutheran Church,5701 Raymond Rd,,,10,,,,,
-89.47919841,43.06470645,4620,90,Wellspring United Methodist Church,5702 S Hill Dr,,,11,,,,,
-89.47919841,43.06470645,4621,92,Wellspring United Methodist Church,5702 S Hill Dr,,,19,,,,,
-89.4788681,43.03241621,4622,84,Meadowridge Library,5726 Raymond Rd,,,10,,,,,
-89.4788681,43.03241621,4623,99,Meadowridge Library,5726 Raymond Rd,,,20,,,,,
-89.38622323,43.07071055,4624,55,Captiol Lakes ,333 W Main St,,,4,,,,,
-89.46902943,43.06965756,4625,89,Mount Olive Lutheran Church,110 N Whitney Way,,,11,,,,,
-89.40497328,43.06279755,4626,72,Trinity United Methodist Church,1123 Vilas Ave,,,13,,,,,
-89.50467575,43.04072843,4627,102,Elver Park Neighborhood Center,1201 McKenna Blvd,,,20,,,,,
-89.40564031,43.06617383,4628,69,St James Catholic School,1204 St James Ct,,,13,,,,,
-89.50371546,43.0396306,4629,100,Park Edge Park Ridge Employment Center,1233 McKenna Blvd,,,20,,,,,
-89.50362717,43.03792405,4630,101,Elver Park Shelter,1250 McKenna Blvd,,,20,,,,,
-89.40807335,43.07179789,4631,59,Union South,1308 W Dayton St,,,8,,,,,
-89.38815898,43.05115928,4632,73,Goodman Parks Maintenance Facility,1402 Wingra Creek Pkwy,,,13,,,,,
-89.41435637,43.07324843,4633,63,First Congregational Church,1609 University Ave,,,5,,,,,
-89.39348941,43.04600855,4634,76,Catholic Multicultural Center,1862 Beld St,,,14,,,,,
-89.42295874,43.05699399,4635,70,Edgewood College - Rennebohm Library,959 Edgewood College Dr,,,13,,,,,
-89.3766507,43.08638807,4636,43,Christ Presbyterian Church,944 E Gorham St,,,6,,,,,
-89.37400367,43.08099247,4637,42,American Family Dream Bank,821 E Washington Ave,,,6,,,,,
-89.39996642,43.07619601,4638,60,Memorial Union,800 Langdon St,,,8,,,,,
-89.51632922,43.07640599,4639,116,High Point Church,7702 Old Sauk Rd,,,9,,,,,
-89.39828149,43.0710689,4640,57,Gordon Dining & Event Center,770 W Dayton St,,,8,,,,,
-89.34714426,43.04804873,4641,74,Bridge-Lake Point Community Center,1917 Lake Point Dr,,,14,,,,,
-89.38755469,43.07362228,4642,52,Central Library,201 W Mifflin St,,,4,,,,,
-89.39548816,43.04112442,4643,77,Village on Park,2300 S Park St,,,14,,,,,
-89.43035634,43.04128787,4644,80,UW Arboretum Visitor Center,2880 Longenecker Dr,,,10,,,,,
-89.38488195,43.07994187,4645,46,Gates of Heaven,302 E Gorham St,,,2,,,,,
-89.39551159,43.07622125,4646,48,Lowell Center,610 Langdon St,,,2,,,,,
-89.39851837,43.06527113,4647,68,Brittingham Apartments,755 Braxton Pl,,,13,,,,,
-89.39858478,43.07371068,4648,50,Chazen Museum of Art,750 University Ave,,,2,,,,,
-89.43414033,43.05479915,4649,71,"Wingra School
",718 Gilmore St,,,13,,,,,
-89.56128174,43.07399361,4650,119,Middleton United Church of Christ,645 Schewe Rd,,,9,,,,,
-89.52792164,43.07434359,4651,117,Attic Angel Association,640 Junction Rd,,,9,,,,,
-89.41703052,43.07832527,4652,61,Dejope Residence Hall,640 Elm Dr,,,8,,,,,
-89.48837901,43.05966712,4653,94,Oakwood Village University Woods,6205 Mineral Point Rd,,,19,,,,,
-89.39593854,43.07561632,4654,49,611 Langdon St,Hillel at University of Wisconsin,,,2,,,,,
-89.43660777,43.08788124,4655,62,Eagle Heights Community Center,"611 Eagle Heights Dr
",,,5,,,,,
-89.48580755,43.0886157,4656,91,Asbury United Methodist Church,6101 University Ave,,,19,,,,,
-89.39888719,43.07072319,4657,56,Nicholas Recreation Center ,797 W Dayton St ,,,4,,,,,
-89.43682405,43.07313501,4658,66,First Bapstist Church,518 N Franklin Ave,,,5,,,,,
-89.36697592,43.07981298,4659,44,Wil-Mar Neighborhood Center,504 S Brearly St,,,6,,,,,
-89.37740215,43.03777973,4660,75,Badger Rock Neighborhood Center,501 E Badger Rd,,,14,,,,,
-89.45768824,43.02852055,4661,81,Boys and Girls Club,4619 Jenewein Rd,,,10,,,,,
-89.55274282,43.05586136,4662,114,Fire Station #12,400 South Point Rd,,,1,,,,,
-89.44103236,43.06135386,4663,67,Bethany United Methodist Church,3910 Mineral Point Rd,,,5,,,,,
-89.40053579,43.06902265,4664,58,Smith Hall,35 N Park St,,,8,,,,,
-89.38622323,43.07071055,4665,53,Captiol Lakes ,333 W Main St,,,4,,,,,
-89.38946294,43.07282735,4666,54,Madison Senior Center,330 W Mifflin St,,,4,,,,,
-89.3878057,43.0767143,4667,47,Bethel Lutheran Church,312 Wisconsin Ave,,,2,,,,,
